transaction_id,transaction_date,buyer_id,supplier_id,supplier_name,supplier_tier,supplier_employee_count,supplier_hq_region,supplier_founding_year,category,unit_price,volume,total_dollars_obligated,on_time_delivery_pct,quality_score,is_cost_reduction_era,diversity_certified,relationship_years,buyer_trust_score,disruption_resilience,strategic_alignment
1,2021-11-19,BYR_007,SUP_LARGE_054,LargeSupplier_054,LARGE,15772,Southwest,1968,Professional Services,57780.54,1,57780.54,81.2,4.84,True,False,14.9,6.07,6.52,False
2,2023-07-03,BYR_009,SUP_SMALL_007,SmallSupplier_007,SMALL,45,West,2004,IT Hardware,49345.68,9,444111.12,85.0,3.9,False,True,4.9,5.21,4.09,False
3,2023-05-23,BYR_007,SUP_LARGE_030,LargeSupplier_030,LARGE,2902,Southwest,1984,IT Hardware,41207.86,21,865365.06,91.3,4.74,False,True,8.6,7.04,7.38,False
4,2024-08-24,BYR_007,SUP_LARGE_026,LargeSupplier_026,LARGE,1497,Pacific,1978,IT Software,82218.26,29,2384329.54,81.4,4.79,False,True,5.0,6.64,5.19,False
5,2024-03-23,BYR_004,SUP_LARGE_097,LargeSupplier_097,LARGE,7937,Southeast,1984,IT Software,65484.05,44,2881298.2,93.4,4.62,False,False,10.3,7.36,6.3,False
6,2024-11-22,BYR_007,SUP_LARGE_064,LargeSupplier_064,LARGE,5440,West,1970,HR Services,34095.32,1,34095.32,81.1,4.84,False,False,12.6,5.7,5.56,False
7,2022-12-08,BYR_005,SUP_LARGE_006,LargeSupplier_006,LARGE,6905,Northeast,1993,Legal Services,98892.77,1,98892.77,86.5,4.0,True,False,8.2,6.36,6.34,False
8,2022-09-18,BYR_002,SUP_LARGE_033,LargeSupplier_033,LARGE,8871,West,1965,Professional Services,72116.35,1,72116.35,91.7,4.22,True,False,13.3,6.03,7.26,False
9,2022-12-27,BYR_000,SUP_LARGE_066,LargeSupplier_066,LARGE,2528,Southeast,1954,Office Supplies,3048.48,3084,9401512.32,87.2,4.55,True,False,6.3,9.05,5.34,False
10,2023-10-16,BYR_006,SUP_LARGE_094,LargeSupplier_094,LARGE,5204,Northeast,1989,Marketing,60780.97,1,60780.97,98.4,4.57,False,False,11.5,8.91,8.44,False
11,2024-04-05,BYR_007,SUP_LARGE_096,LargeSupplier_096,LARGE,3660,Midwest,1988,Raw Materials,14805.28,251,3716125.28,89.9,4.25,False,True,14.4,6.15,6.99,False
12,2023-10-11,BYR_008,SUP_SMALL_018,SmallSupplier_018,SMALL,57,Midwest,2007,Facilities,41789.67,1,41789.67,69.8,3.87,False,True,3.3,3.68,4.34,False
13,2023-04-04,BYR_004,SUP_SMALL_016,SmallSupplier_016,SMALL,141,Pacific,2008,IT Hardware,38348.85,9,345139.65,74.9,3.38,False,True,3.2,5.41,3.98,False
14,2025-01-27,BYR_005,SUP_LARGE_040,LargeSupplier_040,LARGE,4668,Pacific,1962,Marketing,67820.52,3,203461.56,91.3,4.14,False,True,13.6,6.64,8.27,False
15,2024-09-24,BYR_004,SUP_LARGE_114,LargeSupplier_114,LARGE,1290,Northeast,1978,Logistics,17377.46,116,2015785.36,86.7,4.06,False,True,13.5,5.88,5.19,False
16,2023-02-04,BYR_001,SUP_LARGE_113,LargeSupplier_113,LARGE,6327,West,1990,Office Supplies,3615.87,4494,16249719.78,78.5,4.31,False,True,7.2,8.65,8.24,False
17,2024-09-29,BYR_005,SUP_SMALL_026,SmallSupplier_026,SMALL,190,Southwest,2004,IT Hardware,56801.1,18,1022419.8,76.7,4.1,False,True,2.5,7.69,4.95,False
18,2024-03-16,BYR_009,SUP_SMALL_029,SmallSupplier_029,SMALL,35,Southeast,2016,IT Software,73151.8,28,2048250.4,88.4,3.95,False,True,0.9,4.52,4.05,True
19,2024-03-06,BYR_003,SUP_LARGE_105,LargeSupplier_105,LARGE,6359,Southwest,1986,Facilities,21626.57,2,43253.14,84.9,5.0,False,True,5.4,7.67,7.66,True
20,2024-06-21,BYR_008,SUP_LARGE_018,LargeSupplier_018,LARGE,9854,West,1988,HR Services,39948.81,1,39948.81,99.0,4.78,False,False,6.1,9.25,5.58,False
21,2022-03-24,BYR_006,SUP_LARGE_005,LargeSupplier_005,LARGE,2730,Midwest,1975,Professional Services,64594.13,2,129188.26,88.2,4.28,True,True,4.7,5.96,7.51,False
22,2023-07-06,BYR_003,SUP_LARGE_107,LargeSupplier_107,LARGE,1541,Midwest,1995,IT Software,56344.8,36,2028412.8,79.3,4.58,False,True,10.6,6.84,5.6,True
23,2025-12-03,BYR_004,SUP_LARGE_064,LargeSupplier_064,LARGE,5440,West,1970,HR Services,27743.98,1,27743.98,97.6,4.16,False,True,12.6,5.7,5.56,False
24,2022-05-13,BYR_007,SUP_LARGE_077,LargeSupplier_077,LARGE,7527,Midwest,1959,Raw Materials,18760.63,417,7823182.71,73.9,4.04,True,False,5.9,7.78,7.16,False
25,2021-04-18,BYR_002,SUP_LARGE_047,LargeSupplier_047,LARGE,4983,Northeast,2008,Logistics,12373.35,79,977494.65,80.1,4.43,True,False,4.6,6.61,5.87,False
26,2024-07-17,BYR_009,SUP_LARGE_009,LargeSupplier_009,LARGE,3388,Northeast,1958,IT Software,58416.07,25,1460401.75,83.6,4.94,False,False,4.4,9.35,8.59,False
27,2024-01-28,BYR_006,SUP_LARGE_084,LargeSupplier_084,LARGE,2732,Northeast,1985,Logistics,15029.01,67,1006943.67,99.0,5.0,False,False,12.6,7.58,6.34,False
28,2025-07-13,BYR_005,SUP_LARGE_065,LargeSupplier_065,LARGE,4637,Northeast,1973,Marketing,58734.1,1,58734.1,95.4,4.91,False,False,7.8,9.08,7.52,False
29,2023-05-21,BYR_009,SUP_LARGE_055,LargeSupplier_055,LARGE,4593,Northeast,2003,Raw Materials,11693.52,552,6454823.04,99.0,3.7,False,True,5.2,9.13,4.7,False
30,2024-08-09,BYR_003,SUP_LARGE_029,LargeSupplier_029,LARGE,5609,Southwest,1957,HR Services,43418.18,2,86836.36,94.9,4.62,False,True,13.8,9.42,8.11,False
31,2021-09-01,BYR_003,SUP_LARGE_065,LargeSupplier_065,LARGE,4637,Northeast,1973,Facilities,38400.79,1,38400.79,91.5,5.0,True,False,7.8,9.08,7.52,False
32,2022-12-19,BYR_005,SUP_LARGE_000,LargeSupplier_000,LARGE,4789,Southwest,1967,Logistics,20865.96,66,1377153.36,94.0,5.0,True,True,11.4,5.88,8.89,False
33,2023-09-10,BYR_000,SUP_LARGE_085,LargeSupplier_085,LARGE,1305,Northeast,1975,Logistics,26263.47,92,2416239.24,79.9,4.75,False,False,13.3,9.15,5.45,False
34,2024-02-13,BYR_005,SUP_SMALL_028,SmallSupplier_028,SMALL,67,West,2007,HR Services,46575.28,1,46575.28,80.4,4.0,False,True,4.6,5.92,5.0,False
35,2025-08-05,BYR_007,SUP_LARGE_097,LargeSupplier_097,LARGE,7937,Southeast,1984,IT Software,41751.52,67,2797351.84,94.8,4.36,False,False,10.3,7.36,6.3,False
